,src,target,model_pred
0,"rt username : "" ah . . . username : why sub ozil "" username : opolo eyes u no fit open eyes "" ""","rt username : "" ah . . . username : why sub ozil "" username : opolo eyes you no fit open eyes "" ""","rt username : "" ah . . . username ; why sub ozil "" username , opolo eyes you no fit open eyes "" """
1,u have a very sexy header username rawr,you have a very sexy header username rawr,you have a very sexy header username rawr
2,i miss u my bie ! where u wanna out wif me ? have a wonderful day like a swan day . . haha . .,i miss you my bie ! where you wanna out with me ? have a wonderful day like a swan day . . haha . .,i miss you my bie ! where you wanna out with me ? have a wonderful day like a swan day . . haha . .
3,""" cantik . rt username : julie christie , 1968 . photograph by richard avedon . httpurl """,""" cantik . rt username : julie christie , 1968 . photograph by richard avedon . httpurl """,""" cantik . rt username : julie christie , 1968 . photograph by richard avedon . httpurl """
4,rt username : did calum slip ? ! ! omfg,rt username : did calum slip ? ! ! oh my fucking god,rt username : did calum slip ? ! ! oh my fucking god
5,username and you didnt make this brah my friend jack storm did : ),username and you didn't make this brother my friend jack storm did : ),username and you didn't make this brother my friend jack storm did : )
6,username username pshh i went and got mine done regardless ! ! im sick of not being able to be a girl haha,username username pshh i went and got mine done regardless ! ! i'm sick of not being able to be a girl haha,username username pshh i went and got mine done regardless ! ! i'm sick of not being able to be a girl haha
7,username syempre in the right age hahaha,username syempre in the right age hahaha,username syempre in the right age hahaha
8,username shit rockin . go head show that to bria .,username shit rocking . go head show that to bria .,username shit rocking . go head show that to bria .
9,rt username : words that describe exo : luhan is pain chanyeol is sex sehun is porn,rt username : words that describe exo : luhan is pain chanyeol is sex sehun is porn,rt username : words that describe exo : luhan is pain chanyeol is sex sehun is porn
10,rt username : ukip has had two councillors elected in northern ireland today . marvellous .,rt username : ukip has had two councillors elected in northern ireland today . marvelous .,rt username : ukip has had two councillors elected in northern ireland today . marvelous .
11,username lol cause i said & you woulda been falling right along with me .,username laughing out loud because i said & you would have been falling right along with me .,username laughing out loud because i said & you would have been falling right along with me .
12,username yea i was gonna hit u up but guess not lol,username yeah i was gonna hit you up but guess not laughing out loud,username yeah i was gonna hit you up but guess not laughing out loud
13,"username haha okay . well , at least i know the other blog you've been dying to hide lol","username haha okay . well , at least i know the other blog you've been dying to hide laughing out loud","username haha okay . well , at least i know the other blog you've been dying to hide laughing out loud"
14,he obvi doesnt understand that hashtag httpurl,he obviously doesn't understand that hashtag httpurl,he obviously doesn't understand that hashtag httpurl
15,username im friends with grecia i know this,username i'm friends with grecia i know this,username i'm friends with grecia i know this
16,"username i just love the way u are , your fun personality and how u arent afraid to express yourself so openly on youtube","username i just love the way you are , your fun personality and how you aren't afraid to express yourself so openly on youtube","username i just love the way you are , your fun personality and how you aren't afraid to express yourself so openly on youtube"
17,hashtag usa : spalding nba street hashtag by spalding httpurl,hashtag usa : spalding nba street hashtag by spalding httpurl,hashtag usa : spalding nba street hashtag by spalding httpurl
18,username haha im ony doing this to piss off everyone on my tl,username haha i'm only doing this to piss off everyone on my timeline,username haha i'm only doing this to piss off everyone on my timeline
19,rt username : < haru hana > q : something you can't do despite being the golden maknae ? jeongguk : i can't talk . and studying ( laughs ),rt username : < haru hana > q : something you can't do despite being the golden maknae ? jeongguk : i can't talk . and studying ( laughs ),rt username : < haru hana > q : something you can't do despite being the golden maknae ? jeongguk : i can'ts )
20,hashtag : dremel sm844 crown molding guide : dremel sm844 crown molding guide by dremel ( 1 ) buy new : $ 26 . 99 $ 22 . 26 4 . . . httpurl,hashtag : dremel sm844 crown molding guide : dremel sm844 crown molding guide by dremel ( 1 ) buy new : $ 26 . 99 $ 22 . 26 4 . . . httpurl,hashtag : dremel sm844 crown molding guide : drerel sm 844 crown shape by dreme l ( 1 ) buy new : $ 26 . 99 $ 22 . 26 4 . . . httpurl
21,conor keelan ( ff ) polling sixth with 737 first preference votes in dundalk - carlingford hashtag hashtag,conor keelan ( ff ) polling sixth with 737 first preference votes in dundalk - carlingford hashtag hashtag,conor keelan ( ff ) polling sixth with 737 first preference votes in dundalk - carlingford hashtag hashtag
22,"rt username : hashtag eu amo vcs , eu amo esse fandom , mim beiji directionas","rt username : hashtag eu amo vcs , eu amo esse fandom , mim beiji directionas","rt username : hashtag eu amo vcs , eu amos esse fandom , mim beiji directionas"
